run,sample,treatment,version,CpGs_1x,CpGs_5x,CpGs_10x,median_cov,mean_meth_5x
SRR6995995,NB11,control,dedup,2923106,906716,436443,2,49.9
SRR6995997,NB3,control,dedup,798788,265784,144312,2,72.5
SRR6995998,NB6,control,dedup,3640896,804822,260092,2,36.2
SRR6995993,HB16,oil,dedup,2703671,757813,350145,2,52.5
SRR6995996,HB2,oil,dedup,3426057,801604,346098,2,54.1
SRR6995994,HB30,oil,dedup,291271,42118,14350,1,83.3
SRR6995995,NB11,control,nodedup,2928161,1186261,742073,3,46.6
SRR6995997,NB3,control,nodedup,800499,344818,240688,3,71
SRR6995998,NB6,control,nodedup,3646637,1126113,552824,2,33.3
SRR6995993,HB16,oil,nodedup,2708432,1016040,615612,3,48.5
SRR6995996,HB2,oil,nodedup,3431138,1081213,597337,2,49.2
SRR6995994,HB30,oil,nodedup,292512,78715,44511,2,81.9
