run,position,methylated,unmethylated,pct_meth,coverage,context,sample,treatment
SRR6995993,1,68496,70982,49.11,139478,CpG,HB16,oil
SRR6995993,2,69607,69442,50.06,139049,CpG,HB16,oil
SRR6995993,3,73005,69804,51.12,142809,CpG,HB16,oil
SRR6995993,4,78606,72997,51.85,151603,CpG,HB16,oil
SRR6995993,5,76412,75236,50.39,151648,CpG,HB16,oil
SRR6995993,6,79667,69880,53.27,149547,CpG,HB16,oil
SRR6995993,7,79820,70248,53.19,150068,CpG,HB16,oil
SRR6995993,8,81571,69746,53.91,151317,CpG,HB16,oil
SRR6995993,9,87100,67310,56.41,154410,CpG,HB16,oil
SRR6995993,10,82578,68805,54.55,151383,CpG,HB16,oil
SRR6995993,11,80889,68870,54.01,149759,CpG,HB16,oil
SRR6995993,12,82435,69907,54.11,152342,CpG,HB16,oil
SRR6995993,13,83808,77291,52.02,161099,CpG,HB16,oil
SRR6995993,14,82071,69991,53.97,152062,CpG,HB16,oil
SRR6995993,15,85188,71647,54.32,156835,CpG,HB16,oil
SRR6995993,16,89242,80282,52.64,169524,CpG,HB16,oil
SRR6995993,17,86875,71615,54.81,158490,CpG,HB16,oil
SRR6995993,18,87211,71689,54.88,158900,CpG,HB16,oil
SRR6995993,19,88861,74771,54.31,163632,CpG,HB16,oil
SRR6995993,20,87039,71829,54.79,158868,CpG,HB16,oil
SRR6995993,21,86230,69920,55.22,156150,CpG,HB16,oil
SRR6995993,22,88337,73074,54.73,161411,CpG,HB16,oil
SRR6995993,23,88390,73261,54.68,161651,CpG,HB16,oil
SRR6995993,24,88763,71898,55.25,160661,CpG,HB16,oil
SRR6995993,25,89334,73997,54.7,163331,CpG,HB16,oil
SRR6995993,26,88019,72542,54.82,160561,CpG,HB16,oil
SRR6995993,27,89258,73322,54.9,162580,CpG,HB16,oil
SRR6995993,28,90777,73899,55.12,164676,CpG,HB16,oil
SRR6995993,29,88664,72099,55.15,160763,CpG,HB16,oil
SRR6995993,30,88508,72042,55.13,160550,CpG,HB16,oil
SRR6995993,31,89225,74858,54.38,164083,CpG,HB16,oil
SRR6995993,32,87499,72802,54.58,160301,CpG,HB16,oil
SRR6995993,33,87016,70696,55.17,157712,CpG,HB16,oil
SRR6995993,34,90013,73201,55.15,163214,CpG,HB16,oil
SRR6995993,35,88221,72284,54.96,160505,CpG,HB16,oil
SRR6995993,36,88025,71091,55.32,159116,CpG,HB16,oil
SRR6995993,37,89117,72619,55.1,161736,CpG,HB16,oil
SRR6995993,38,87541,71900,54.9,159441,CpG,HB16,oil
SRR6995993,39,88062,71711,55.12,159773,CpG,HB16,oil
SRR6995993,40,88594,73086,54.8,161680,CpG,HB16,oil
SRR6995993,41,86977,71758,54.79,158735,CpG,HB16,oil
SRR6995993,42,86505,70657,55.04,157162,CpG,HB16,oil
SRR6995993,43,87420,72493,54.67,159913,CpG,HB16,oil
SRR6995993,44,86022,71526,54.6,157548,CpG,HB16,oil
SRR6995993,45,85644,70266,54.93,155910,CpG,HB16,oil
SRR6995993,46,86853,72541,54.49,159394,CpG,HB16,oil
SRR6995993,47,85664,70527,54.85,156191,CpG,HB16,oil
SRR6995993,48,84886,70211,54.73,155097,CpG,HB16,oil
SRR6995993,49,85646,71998,54.33,157644,CpG,HB16,oil
SRR6995993,50,83638,70714,54.19,154352,CpG,HB16,oil
SRR6995993,51,84113,68636,55.07,152749,CpG,HB16,oil
SRR6995993,52,84048,70919,54.24,154967,CpG,HB16,oil
SRR6995993,53,82791,70780,53.91,153571,CpG,HB16,oil
SRR6995993,54,82969,69924,54.27,152893,CpG,HB16,oil
SRR6995993,55,83124,70327,54.17,153451,CpG,HB16,oil
SRR6995993,56,81759,68380,54.46,150139,CpG,HB16,oil
SRR6995993,57,81720,68101,54.55,149821,CpG,HB16,oil
SRR6995993,58,81781,69254,54.15,151035,CpG,HB16,oil
SRR6995993,59,80592,68184,54.17,148776,CpG,HB16,oil
SRR6995993,60,80452,68733,53.93,149185,CpG,HB16,oil
SRR6995993,61,79748,69751,53.34,149499,CpG,HB16,oil
SRR6995993,62,77963,67889,53.45,145852,CpG,HB16,oil
SRR6995993,63,78222,67342,53.74,145564,CpG,HB16,oil
SRR6995993,64,78241,67558,53.66,145799,CpG,HB16,oil
SRR6995993,65,76961,67559,53.25,144520,CpG,HB16,oil
SRR6995993,66,77023,66158,53.79,143181,CpG,HB16,oil
SRR6995993,67,76497,67534,53.11,144031,CpG,HB16,oil
SRR6995993,68,75423,65447,53.54,140870,CpG,HB16,oil
SRR6995993,69,75022,65289,53.47,140311,CpG,HB16,oil
SRR6995993,70,74901,65761,53.25,140662,CpG,HB16,oil
SRR6995993,71,73312,64581,53.17,137893,CpG,HB16,oil
SRR6995993,72,72869,63474,53.45,136343,CpG,HB16,oil
SRR6995993,73,71641,64206,52.74,135847,CpG,HB16,oil
SRR6995993,74,70220,63901,52.36,134121,CpG,HB16,oil
SRR6995993,75,69713,62040,52.91,131753,CpG,HB16,oil
SRR6995993,76,68484,62992,52.09,131476,CpG,HB16,oil
SRR6995993,77,67546,61561,52.32,129107,CpG,HB16,oil
SRR6995993,78,66249,61796,51.74,128045,CpG,HB16,oil
SRR6995993,79,65537,61772,51.48,127309,CpG,HB16,oil
SRR6995993,80,64437,60355,51.64,124792,CpG,HB16,oil
SRR6995993,81,63045,59616,51.4,122661,CpG,HB16,oil
SRR6995993,82,61713,58672,51.26,120385,CpG,HB16,oil
SRR6995993,83,59610,57592,50.86,117202,CpG,HB16,oil
SRR6995993,84,58475,56512,50.85,114987,CpG,HB16,oil
SRR6995993,85,57364,55652,50.76,113016,CpG,HB16,oil
SRR6995993,86,54869,53560,50.6,108429,CpG,HB16,oil
SRR6995993,87,52371,52888,49.75,105259,CpG,HB16,oil
SRR6995993,88,47405,51314,48.02,98719,CpG,HB16,oil
SRR6995993,89,12791,14702,46.52,27493,CpG,HB16,oil
SRR6995993,1,4948,180064,2.67,185012,CHG,HB16,oil
SRR6995993,2,4012,185073,2.12,189085,CHG,HB16,oil
SRR6995993,3,3526,186493,1.86,190019,CHG,HB16,oil
SRR6995993,4,3638,179274,1.99,182912,CHG,HB16,oil
SRR6995993,5,3937,186012,2.07,189949,CHG,HB16,oil
SRR6995993,6,3498,193299,1.78,196797,CHG,HB16,oil
SRR6995993,7,3200,182665,1.72,185865,CHG,HB16,oil
SRR6995993,8,3599,186068,1.9,189667,CHG,HB16,oil
SRR6995993,9,4002,188257,2.08,192259,CHG,HB16,oil
SRR6995993,10,12661,186591,6.35,199252,CHG,HB16,oil
SRR6995993,11,3390,191351,1.74,194741,CHG,HB16,oil
SRR6995993,12,2417,191365,1.25,193782,CHG,HB16,oil
SRR6995993,13,2317,189991,1.2,192308,CHG,HB16,oil
SRR6995993,14,2563,200397,1.26,202960,CHG,HB16,oil
SRR6995993,15,2539,192570,1.3,195109,CHG,HB16,oil
SRR6995993,16,2524,190443,1.31,192967,CHG,HB16,oil
SRR6995993,17,2520,193128,1.29,195648,CHG,HB16,oil
SRR6995993,18,2383,192630,1.22,195013,CHG,HB16,oil
SRR6995993,19,2768,190017,1.44,192785,CHG,HB16,oil
SRR6995993,20,2482,195214,1.26,197696,CHG,HB16,oil
SRR6995993,21,2472,194530,1.25,197002,CHG,HB16,oil
SRR6995993,22,2583,199354,1.28,201937,CHG,HB16,oil
SRR6995993,23,2540,196414,1.28,198954,CHG,HB16,oil
SRR6995993,24,2459,197961,1.23,200420,CHG,HB16,oil
SRR6995993,25,2492,196099,1.25,198591,CHG,HB16,oil
SRR6995993,26,2538,197679,1.27,200217,CHG,HB16,oil
SRR6995993,27,2860,198194,1.42,201054,CHG,HB16,oil
SRR6995993,28,2610,193981,1.33,196591,CHG,HB16,oil
SRR6995993,29,2570,197188,1.29,199758,CHG,HB16,oil
SRR6995993,30,2490,194593,1.26,197083,CHG,HB16,oil
SRR6995993,31,2538,192037,1.3,194575,CHG,HB16,oil
SRR6995993,32,2619,196560,1.31,199179,CHG,HB16,oil
SRR6995993,33,2412,195519,1.22,197931,CHG,HB16,oil
SRR6995993,34,2409,192821,1.23,195230,CHG,HB16,oil
SRR6995993,35,2621,197740,1.31,200361,CHG,HB16,oil
SRR6995993,36,2387,196870,1.2,199257,CHG,HB16,oil
SRR6995993,37,2373,192010,1.22,194383,CHG,HB16,oil
SRR6995993,38,2552,195056,1.29,197608,CHG,HB16,oil
SRR6995993,39,2444,195205,1.24,197649,CHG,HB16,oil
SRR6995993,40,2426,191373,1.25,193799,CHG,HB16,oil
SRR6995993,41,2417,193237,1.24,195654,CHG,HB16,oil
SRR6995993,42,2306,190195,1.2,192501,CHG,HB16,oil
SRR6995993,43,2445,189258,1.28,191703,CHG,HB16,oil
SRR6995993,44,2464,192066,1.27,194530,CHG,HB16,oil
SRR6995993,45,2279,191580,1.18,193859,CHG,HB16,oil
SRR6995993,46,2368,188229,1.24,190597,CHG,HB16,oil
SRR6995993,47,2444,191903,1.26,194347,CHG,HB16,oil
SRR6995993,48,2291,190194,1.19,192485,CHG,HB16,oil
SRR6995993,49,2441,186989,1.29,189430,CHG,HB16,oil
SRR6995993,50,2561,189889,1.33,192450,CHG,HB16,oil
SRR6995993,51,2380,189725,1.24,192105,CHG,HB16,oil
SRR6995993,52,2397,186741,1.27,189138,CHG,HB16,oil
SRR6995993,53,2478,189876,1.29,192354,CHG,HB16,oil
SRR6995993,54,2411,187430,1.27,189841,CHG,HB16,oil
SRR6995993,55,2524,186168,1.34,188692,CHG,HB16,oil
SRR6995993,56,2456,187361,1.29,189817,CHG,HB16,oil
SRR6995993,57,2424,185687,1.29,188111,CHG,HB16,oil
SRR6995993,58,2455,182083,1.33,184538,CHG,HB16,oil
SRR6995993,59,2552,184870,1.36,187422,CHG,HB16,oil
SRR6995993,60,2351,182698,1.27,185049,CHG,HB16,oil
SRR6995993,61,2413,182949,1.3,185362,CHG,HB16,oil
SRR6995993,62,2429,183328,1.31,185757,CHG,HB16,oil
SRR6995993,63,2433,181523,1.32,183956,CHG,HB16,oil
SRR6995993,64,2481,180114,1.36,182595,CHG,HB16,oil
SRR6995993,65,2443,181288,1.33,183731,CHG,HB16,oil
SRR6995993,66,2347,179212,1.29,181559,CHG,HB16,oil
SRR6995993,67,2502,176167,1.4,178669,CHG,HB16,oil
SRR6995993,68,2433,175983,1.36,178416,CHG,HB16,oil
SRR6995993,69,2333,173400,1.33,175733,CHG,HB16,oil
SRR6995993,70,2320,170488,1.34,172808,CHG,HB16,oil
SRR6995993,71,2357,173484,1.34,175841,CHG,HB16,oil
SRR6995993,72,2386,170479,1.38,172865,CHG,HB16,oil
SRR6995993,73,2381,167972,1.4,170353,CHG,HB16,oil
SRR6995993,74,2384,168399,1.4,170783,CHG,HB16,oil
SRR6995993,75,2361,166125,1.4,168486,CHG,HB16,oil
SRR6995993,76,2357,162523,1.43,164880,CHG,HB16,oil
SRR6995993,77,2368,162468,1.44,164836,CHG,HB16,oil
SRR6995993,78,2333,159154,1.44,161487,CHG,HB16,oil
SRR6995993,79,2316,155242,1.47,157558,CHG,HB16,oil
SRR6995993,80,2248,155628,1.42,157876,CHG,HB16,oil
SRR6995993,81,2227,152450,1.44,154677,CHG,HB16,oil
SRR6995993,82,2295,150520,1.5,152815,CHG,HB16,oil
SRR6995993,83,2243,149243,1.48,151486,CHG,HB16,oil
SRR6995993,84,2177,145228,1.48,147405,CHG,HB16,oil
SRR6995993,85,2160,141883,1.5,144043,CHG,HB16,oil
SRR6995993,86,2170,140943,1.52,143113,CHG,HB16,oil
SRR6995993,87,2104,135655,1.53,137759,CHG,HB16,oil
SRR6995993,88,1805,124550,1.43,126355,CHG,HB16,oil
