CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	40844	93854	30.32	134698
2	40536	91769	30.64	132305
3	42398	91175	31.74	133573
4	46771	96142	32.73	142913
5	44970	102008	30.60	146978
6	45886	91957	33.29	137843
7	46841	93340	33.41	140181
8	47860	91132	34.43	138992
9	57992	88805	39.50	146797
10	48347	90933	34.71	139280
11	47139	90238	34.31	137377
12	46778	92700	33.54	139478
13	48181	106168	31.22	154349
14	47138	93621	33.49	140759
15	48715	96127	33.63	144842
16	51142	109950	31.75	161092
17	49098	95996	33.84	145094
18	50075	96892	34.07	146967
19	51381	99418	34.07	150799
20	50711	96253	34.51	146964
21	49960	95063	34.45	145023
22	51119	98353	34.20	149472
23	50908	99720	33.80	150628
24	51493	97800	34.49	149293
25	52165	101197	34.01	153362
26	50914	99946	33.75	150860
27	51697	99998	34.08	151695
28	52992	101693	34.26	154685
29	51313	99122	34.11	150435
30	51357	99406	34.06	150763
31	52404	101255	34.10	153659
32	50587	100025	33.59	150612
33	50652	97129	34.28	147781
34	52171	100164	34.25	152335
35	51142	99601	33.93	150743
36	51471	98955	34.22	150426
37	51924	100636	34.04	152560
38	50456	99658	33.61	150114
39	51316	99242	34.08	150558
40	51937	100722	34.02	152659
41	50690	99843	33.67	150533
42	50697	97628	34.18	148325
43	51460	100026	33.97	151486
44	50290	99231	33.63	149521
45	49292	97957	33.48	147249
46	50596	99908	33.62	150504
47	49767	98498	33.57	148265
48	49689	97924	33.66	147613
49	49880	99759	33.33	149639
50	48894	97798	33.33	146692
51	48476	97037	33.31	145513
52	48842	97821	33.30	146663
53	48146	97551	33.05	145697
54	47954	97620	32.94	145574
55	48822	97038	33.47	145860
56	47548	95189	33.31	142737
57	47625	95079	33.37	142704
58	48179	96372	33.33	144551
59	47327	95078	33.23	142405
60	46925	96275	32.77	143200
61	47050	97216	32.61	144266
62	46029	94946	32.65	140975
63	45950	94058	32.82	140008
64	45871	94897	32.59	140768
65	45350	94807	32.36	140157
66	45648	92981	32.93	138629
67	45324	95561	32.17	140885
68	44963	93322	32.51	138285
69	44328	93170	32.24	137498
70	44669	94607	32.07	139276
71	44043	92205	32.33	136248
72	43470	91408	32.23	134878
73	43574	92101	32.12	135675
74	43129	91395	32.06	134524
75	42159	89475	32.03	131634
76	41811	89452	31.85	131263
77	40834	89139	31.42	129973
78	41051	88756	31.62	129807
79	41127	89823	31.41	130950
80	39974	88573	31.10	128547
81	39746	88344	31.03	128090
82	39574	87034	31.26	126608
83	38222	85945	30.78	124167
