CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	198290	139162	58.76	337452
2	198912	135521	59.48	334433
3	215542	134956	61.50	350498
4	240957	143746	62.63	384703
5	232593	154146	60.14	386739
6	244725	136228	64.24	380953
7	248765	139145	64.13	387910
8	244660	132762	64.82	377422
9	275250	129324	68.03	404574
10	263747	138519	65.57	402266
11	244081	131647	64.96	375728
12	250455	133918	65.16	384373
13	264521	161541	62.09	426062
14	252485	135426	65.09	387911
15	266616	139118	65.71	405734
16	290690	165561	63.71	456251
17	271129	137682	66.32	408811
18	274342	140082	66.20	414424
19	281613	145695	65.90	427308
20	268606	137193	66.19	405799
21	271012	135547	66.66	406559
22	282879	144856	66.13	427735
23	270929	141919	65.62	412848
24	279453	141164	66.44	420617
25	289174	150140	65.82	439314
26	275766	140031	66.32	415797
27	281280	144047	66.13	425327
28	287863	143739	66.70	431602
29	274741	139342	66.35	414083
30	280935	138092	67.04	419027
31	286275	146860	66.09	433135
32	272249	139512	66.12	411761
33	270179	135312	66.63	405491
34	284463	141513	66.78	425976
35	277287	138650	66.67	415937
36	275936	138809	66.53	414745
37	285862	146687	66.09	432549
38	272800	138898	66.26	411698
39	277239	139059	66.60	416298
40	288146	145535	66.44	433681
41	269696	140834	65.69	410530
42	268693	139180	65.88	407873
43	279721	145331	65.81	425052
44	271239	141146	65.77	412385
45	266475	136388	66.15	402863
46	280407	143341	66.17	423748
47	269589	136929	66.32	406518
48	267573	136749	66.18	404322
49	272552	143421	65.52	415973
50	262160	136904	65.69	399064
51	260243	133312	66.13	393555
52	267335	140944	65.48	408279
53	259011	137753	65.28	396764
54	258274	135463	65.60	393737
55	267157	140487	65.54	407644
56	254132	132882	65.66	387014
57	254059	132185	65.78	386244
58	256104	137432	65.08	393536
59	251501	134408	65.17	385909
60	249478	133853	65.08	383331
61	252526	139034	64.49	391560
62	245217	132530	64.92	377747
63	246549	131489	65.22	378038
64	247762	132686	65.12	380448
65	246759	132982	64.98	379741
66	240981	128580	65.21	369561
67	247482	136093	64.52	383575
68	237219	128114	64.93	365333
69	232259	128289	64.42	360548
70	246203	135886	64.44	382089
71	228693	127032	64.29	355725
72	227053	126203	64.27	353256
73	229311	127592	64.25	356903
74	220232	124084	63.96	344316
75	215335	121373	63.95	336708
76	220715	126028	63.65	346743
77	206970	119953	63.31	326923
78	207811	120419	63.31	328230
79	207339	123201	62.73	330540
80	197945	118693	62.51	316638
81	193501	115520	62.62	309021
82	193709	116220	62.50	309929
83	184981	110980	62.50	295961
84	179295	109540	62.08	288835
85	181147	111627	61.87	292774
86	167293	102327	62.05	269620
87	163109	101766	61.58	264875
88	148216	99370	59.86	247586
89	37097	27408	57.51	64505

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	10174	471597	2.11	481771
2	8626	488349	1.74	496975
3	7926	494531	1.58	502457
4	8605	460093	1.84	468698
5	9378	485263	1.90	494641
6	8070	521374	1.52	529444
7	7939	469681	1.66	477620
8	9028	486320	1.82	495348
9	9792	494036	1.94	503828
10	43128	482503	8.20	525631
11	10802	504448	2.10	515250
12	6811	499894	1.34	506705
13	6548	482381	1.34	488929
14	7417	528606	1.38	536023
15	6455	500698	1.27	507153
16	7310	487941	1.48	495251
17	7115	492711	1.42	499826
18	6625	496520	1.32	503145
19	8017	484746	1.63	492763
20	7133	499408	1.41	506541
21	6815	496008	1.36	502823
22	7786	511666	1.50	519452
23	7660	503452	1.50	511112
24	6866	515181	1.32	522047
25	7351	496612	1.46	503963
26	7241	510093	1.40	517334
27	7993	509985	1.54	517978
28	7559	493007	1.51	500566
29	7341	507806	1.43	515147
30	7178	498520	1.42	505698
31	7808	498817	1.54	506625
32	7886	507596	1.53	515482
33	6791	503701	1.33	510492
34	7365	487430	1.49	494795
35	7745	509251	1.50	516996
36	6816	505073	1.33	511889
37	7200	481032	1.47	488232
38	8000	501224	1.57	509224
39	6595	501170	1.30	507765
40	7000	483401	1.43	490401
41	7303	501217	1.44	508520
42	6413	493579	1.28	499992
43	6692	478616	1.38	485308
44	7040	489579	1.42	496619
45	6334	489815	1.28	496149
46	6863	484369	1.40	491232
47	7482	491538	1.50	499020
48	6524	489143	1.32	495667
49	7022	471782	1.47	478804
50	7395	486158	1.50	493553
51	6354	487703	1.29	494057
52	6981	470760	1.46	477741
53	7164	481728	1.47	488892
54	6491	483977	1.32	490468
55	7097	472357	1.48	479454
56	6758	480937	1.39	487695
57	6439	478180	1.33	484619
58	7175	461421	1.53	468596
59	7330	471045	1.53	478375
60	6347	472837	1.32	479184
61	6732	468384	1.42	475116
62	6741	466693	1.42	473434
63	6466	466410	1.37	472876
64	6698	456149	1.45	462847
65	6654	460175	1.43	466829
66	6330	459443	1.36	465773
67	6695	445545	1.48	452240
68	6561	449888	1.44	456449
69	5987	444554	1.33	450541
70	6289	431134	1.44	437423
71	6386	442545	1.42	448931
72	6068	435563	1.37	441631
73	6313	432657	1.44	438970
74	6335	426904	1.46	433239
75	5964	424161	1.39	430125
76	6561	415858	1.55	422419
77	6228	417593	1.47	423821
78	5949	408472	1.44	414421
79	6166	392271	1.55	398437
80	5779	403615	1.41	409394
81	5567	391802	1.40	397369
82	5843	381746	1.51	387589
83	5815	381765	1.50	387580
84	5203	376206	1.36	381409
85	5570	357102	1.54	362672
86	5453	355155	1.51	360608
87	4847	341280	1.40	346127
88	4150	314143	1.30	318293
89	912	81551	1.11	82463

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	12891	993129	1.28	1006020
2	13281	950854	1.38	964135
3	11365	982059	1.14	993424
4	13144	983924	1.32	997068
5	12972	953055	1.34	966027
6	12556	964569	1.28	977125
7	13408	995176	1.33	1008584
8	12350	938579	1.30	950929
9	17892	951646	1.85	969538
10	17987	946574	1.86	964561
11	36639	917934	3.84	954573
12	10515	953320	1.09	963835
13	11063	953913	1.15	964976
14	10442	901199	1.15	911641
15	10656	915541	1.15	926197
16	10358	929513	1.10	939871
17	10184	889952	1.13	900136
18	10299	936038	1.09	946337
19	12354	921781	1.32	934135
20	10709	872273	1.21	882982
21	10496	892232	1.16	902728
22	11907	909837	1.29	921744
23	10241	891584	1.14	901825
24	10180	917108	1.10	927288
25	11422	912997	1.24	924419
26	11021	875061	1.24	886082
27	13082	891238	1.45	904320
28	11516	904498	1.26	916014
29	11560	877202	1.30	888762
30	10372	893049	1.15	903421
31	11237	907325	1.22	918562
32	10946	872130	1.24	883076
33	10111	889482	1.12	899593
34	11048	910428	1.20	921476
35	10723	861996	1.23	872719
36	9752	882172	1.09	891924
37	10687	882233	1.20	892920
38	10239	864193	1.17	874432
39	9913	888008	1.10	897921
40	10474	896823	1.15	907297
41	10557	874881	1.19	885438
42	9878	890917	1.10	900795
43	10558	902575	1.16	913133
44	10015	874290	1.13	884305
45	9999	881062	1.12	891061
46	10520	889072	1.17	899592
47	10610	856395	1.22	867005
48	10285	873112	1.16	883397
49	11050	888238	1.23	899288
50	10882	850525	1.26	861407
51	10248	872915	1.16	883163
52	11323	880822	1.27	892145
53	11178	853178	1.29	864356
54	10399	880587	1.17	890986
55	11300	880751	1.27	892051
56	11039	860618	1.27	871657
57	10690	871945	1.21	882635
58	11123	880167	1.25	891290
59	11420	859779	1.31	871199
60	10710	872542	1.21	883252
61	11589	877444	1.30	889033
62	10793	847032	1.26	857825
63	10814	857141	1.25	867955
64	11538	863687	1.32	875225
65	10899	829974	1.30	840873
66	10477	839479	1.23	849956
67	11436	844109	1.34	855545
68	11177	819039	1.35	830216
69	10703	827166	1.28	837869
70	11058	835836	1.31	846894
71	10640	806304	1.30	816944
72	10440	814604	1.27	825044
73	10579	813952	1.28	824531
74	11152	796765	1.38	807917
75	10375	795502	1.29	805877
76	11171	799023	1.38	810194
77	10424	766519	1.34	776943
78	9828	768895	1.26	778723
79	10508	776560	1.34	787068
80	10276	743076	1.36	753352
81	10093	741827	1.34	751920
82	10273	742668	1.36	752941
83	9622	715712	1.33	725334
84	9220	715517	1.27	724737
85	9308	707452	1.30	716760
86	9616	682710	1.39	692326
87	8744	673608	1.28	682352
88	8040	629129	1.26	637169
89	2186	170158	1.27	172344

